country,year,pct_at_risk,status
Denmark,2000,83.0,Normal value
Denmark,2001,83.0,Normal value
Denmark,2002,83.0,Normal value
Denmark,2003,83.0,Normal value
Denmark,2004,94.0,Normal value
Denmark,2005,95.0,Normal value
Denmark,2006,95.0,Normal value
Denmark,2007,95.0,Normal value
Denmark,2008,100.0,Normal value
Denmark,2009,100.0,Normal value
Denmark,2010,100.0,Normal value
Denmark,2011,100.0,Normal value
Denmark,2012,62.0,Normal value
Denmark,2013,94.0,Normal value
Denmark,2014,68.0,Normal value
Denmark,2015,87.0,Normal value
Denmark,2016,95.0,Normal value
Denmark,2017,85.0,Normal value
Denmark,2018,98.0,Normal value
Denmark,2019,91.0,Normal value
Denmark,2020,91.0,Normal value
Denmark,2021,93.0,Normal value
Denmark,2022,96.0,Normal value
Denmark,2023,98.0,Normal value
Denmark,2024,96.0,Normal value
Denmark,2025,96.0,Normal value
Dominican Republic,2000,100.0,Normal value
Dominican Republic,2001,100.0,Normal value
Dominican Republic,2002,100.0,Normal value
Dominican Republic,2003,100.0,Normal value
Dominican Republic,2004,100.0,Normal value
Dominican Republic,2005,100.0,Normal value
Dominican Republic,2006,100.0,Normal value
Dominican Republic,2007,100.0,Normal value
Dominican Republic,2008,100.0,Normal value
Dominican Republic,2009,100.0,Normal value
Dominican Republic,2010,100.0,Normal value
Dominican Republic,2011,100.0,Normal value
Dominican Republic,2012,100.0,Normal value
Dominican Republic,2013,100.0,Normal value
Dominican Republic,2022,0.0,Normal value
Dominican Republic,2023,0.0,Normal value
Dominican Republic,2024,0.0,Normal value
Dominican Republic,2025,0.0,Normal value
Ecuador,2000,20.0,Normal value
Ecuador,2001,20.0,Normal value
Ecuador,2002,17.0,Normal value
Ecuador,2003,25.0,Normal value
Ecuador,2004,33.0,Normal value
Ecuador,2005,33.0,Normal value
Ecuador,2006,33.0,Normal value
Ecuador,2007,50.0,Normal value
Ecuador,2008,40.0,Normal value
Ecuador,2009,40.0,Normal value
Ecuador,2010,40.0,Normal value
Ecuador,2011,40.0,Normal value
Ecuador,2012,50.0,Normal value
Ecuador,2013,50.0,Normal value
Ecuador,2014,50.0,Normal value
Ecuador,2015,50.0,Normal value
Ecuador,2016,50.0,Normal value
Ecuador,2017,0.0,Normal value
Ecuador,2018,29.0,Normal value
Ecuador,2019,29.0,Normal value
Ecuador,2020,29.0,Normal value
Ecuador,2021,29.0,Normal value
Ecuador,2022,29.0,Normal value
Ecuador,2023,29.0,Normal value
Ecuador,2024,29.0,Normal value
Ecuador,2025,25.0,Normal value
